STATUTORY INDEX

INTRODUCTION

This index specifies the offense guideline section(s) in Chapter Two (Offense Conduct) appli-
cable to the statute of conviction. If more than one guideline section is referenced for the particular
statute, use the guideline most appropriate for the offense conduct charged in the count of which the
defendant was convicted. For the rules governing the determination of the offense guideline section(s)
from Chapter Two, and for any exceptions to those rules, see §1B1.2 (Applicable Guidelines).

Historical  Note

Effective November 1, 1987. Amended effective November 1, 1989 (amendments 296 and 297); November 1, 1993
(amendment 496); November 1, 2000 (amendment 591); November 1, 2014 (amendment 781).
INDEX

Title Statue Guidelines 
2 192 2J1.1,2J1.5
2 390 2J1.1,2J1.5
7 6 2B1.1
7 6b(A) 2B1.1
7 6b(B) 2B1.1
7 6b(C) 2B1.1
7 6c 2B1.1
7 6h 2B1.1
7 6o 2B1.1
7 13(a)(1) 2B1.1
7 13(a)(2) 2B1.1
7 13(a)(3) 2B1.1
7 13(a)(4) 2B1.1
7 13(c) 2C1.3
7 13(d) 2B1.4
7 13(e) 2B1.4
7 23 2B1.1
7 87b 2N2.1
7 87f(e) 2J1.1,2J1.5
7 136 2Q1.2
7 136j 2Q1.2
7 136k 2Q1.2
7 136l 2Q1.2
7 149 2N2.1
7 150bb 2N2.1
7 150gg 2N2.1
7 154 2N2.1
7 156 2N2.1
7 157 2N2.1
7 158 2N2.1
7 161 2N2.1
7 163 2N2.1
7 195 2N2.1
7 270 2B1.1
7 281 2N2.1
7 472 2N2.1
7 473c-1 2N2.1
7 491 2N2.1
7 499n 2N2.1
7 503 2N2.1
7 511d 2N2.1
7 511i 2N2.1
7 516 2N2.1
7 610(g) 2C1.3
7 2018(c) 2N2.1
7 2024(b) 2B1.1
7 2024(c) 2B1.1
7 2156 (felony provisions only) 2E3.1
7 6810 2N2.1
7 7734 2N2.1
7 8313 2N2.1
8 1160(b)(7)(A) 2L2.1,2L2.2
8 1185(a)(1) 2L1.2
8 1185(a)(2) 2L1.1
8 1185(a)(3) 2L2.1,2L2.2
8 1185(a)(4) 2L2.1
8 1185(a)(5) 2L2.2
8 1253 2L1.2
8 1255a(c)(6) 2L2.1,2L2.2
8 1324(a) 2L1.1
8 1325(a) 2L1.2
8 1325(c) 2L2.1,2L2.2
8 1325(d) 2L2.1,2L2.2
8 1326 2L1.2
8 1327 2L1.1
8 1328 2G1.1,2G1.3
8 1375a(d)(5)(B)(i) 2H3.1
8 1375a(d)(5)(B)(ii) 2H3.1
8 1375a(d)(5)(B)(iii) 2B1.1
10 987(f) 2X5.2
12 631 2B1.1
12 1818(j) 2B1.1
12 1844(f) 2J1.1,2J1.5
12 2273 2J1.1,2J1.5
12 3108(b)(6) 2J1.1,2J1.5
12 4636b 2B1.1
12 4641 J1.1,2J1.5
12 5382 2H3.1
15 1 2R1.1
15 3(b) 2R1.1
15 50 2B1.1,2J1.1,2J1.5
15 77e 2B1.1
15 77q 2B1.1
15 77x 2B1.1
15 78j 2B1.1,2B1.4
15 78dd-1 2C1.1
15 78dd-2 2C1.1
15 78dd-3 2C1.1
15 78ff 2B1.1,2C1.1
15 78u(c) 2J1.1,2J1.5
15 78jjj(c)(1),(2) 2B1.1
15 78jjj(d) 2B1.1
15 80a-41(c) 2J1.1,2J1.5
15 80b-6 2B1.1
15 80b-9(c) 2J1.1,2J1.5
15 158 2B1.1
15 377 2T2.1,2T2.2
15 645(a) 2B1.1
15 645(b) 2B1.1
15 645(c) 2B1.1
15 714m(a) 2B1.1
15 714m(b) 2B1.1
15 714m(c) 2B1.1
15 717m(d) 2J1.1,2J1.5
15 1172 2E3.1
15 1173 2E3.1
15 1174 2E3.1
15 1175 2E3.1
15 1176 2E3.1
15 1192 2N2.1
15 1197(b) 2N2.1
15 1202(c) 2N2.1
15 1263 2N2.1
15 1281 2B1.1 (for offenses committed prior to July 5,1994)
15 1644 2B1.1
15 1681q 2B1.1
15 1693n(a) 2B1.1
15 1983 2N3.1 (for offenses committed prior to July 5,1994)
15 1984 2N3.1 (for offenses committed prior to July 5,1994)
15 1985 2N3.1 (for offenses committed prior to July 5,1994)
15 1986 2N3.1 (for offenses committed prior to July 5,1994)
15 1987 2N3.1 (for offenses committed prior to July 5,1994)
15 1988 2N3.1 (for offenses committed prior to July 5,1994)
15 1990c 2N3.1 (for offenses committed prior to July 5,1994)
15 2068 2N2.1
15 2614 2Q1.2
15 2615 2Q1.2
15 6821 2B1.1
15 7704(d) 2G2.5
16 114 2B1.1
16 117c 2B1.1
16 123 2B1.1,2B2.3
16 146 2B1.1,2B2.3
16 413 2B1.1
16 470aaa–5 2B1.1,2B1.5
16 470ee 2B1.5
16 668(a) 2B1.5,2Q2.1
16 707(b) 2B1.5,2Q2.1
16 742j-1(a) 2Q2.1
16 773e (a)(2),(3),(4),(6) 2A2.4
16 773g 2A2.4
16 825f(c) 2J1.1,2J1.5
16 831t(a) 2B1.1
16 831t(b) 2B1.1
16 831t(c) 2B1.1,2X1.1
16 916c 2Q2.1
16 916f 2Q2.1
16 973c(a) (8),(10),(11),(12) 2A2.4
16 973e 2A2.4
16 1029 2A2.4
16 1030 2A2.4
16 1174(a) 2Q2.1
16 1338(a) 2Q2.1
16 1372 2Q2.1
16 1375(b) 2Q2.1
16 1387 2Q2.1
16 1417(a)(5),(6),(b)(2) 2A2.4
16 1437(c) 2A2.4
16 1540(b) 2Q2.1
16 1857(1)(D) 2A2.4
16 1857(1)(E) 2A2.4
16 1857(1)(F) 2A2.4
16 1857(1)(H) 2A2.4
16 1859 2A2.4
16 2435(4) 2A2.4
16 2435(5) 2A2.4
16 2435(6) 2A2.4
16 2435(7) 2A2.4
16 2438 2A2.4
16 3373(d) 2Q2.1
16 3606 2A2.4
16 3637(a)(2),(3),(4),(6),(c) 2A2.4
16 4223 2Q2.1
16 4224 2Q2.1
16 4910(a) 2Q2.1
16 4912(a)(2)(A) 2Q2.1
16 5009(5),(6),(7),(8) 2A2.4
16 5010(b) 2A2.4
17 506(a) 2B5.3
17 1201 2B5.3
17 1204 2B5.3
18 2 2X2.1
18 3 2X3.1
18 4 2X4.1
18 25 2X6.1
18 32(a),(b) 2A1.1,2A1.2,2A1.3,2A1.4,2A2.1,2A2.2,2A2.3,2A4.1,2A5.1,2A5.2,2B1.1,2K1.4,2X1.1
18 32(c) 2A6.1
18 33 2A2.1,2A2.2,2B1.1,2K1.4
18 34 2A1.1,2A1.2,2A1.3,2A1.4
18 35(b) 2A6.1
18 36 2D1.1
18 37 2A1.1,2A1.2,2A1.3,2A1.4,2A2.1,2A2.2,2A2.3,2A3.1,2A3.4,2A4.1,2A5.1,2A5.2,2B1.1,2B3.1,2K1.4,2X1.1
18 38 2B1.1
18 39A 2A5.2
18 43 2B1.1
18 48 2G3.1
18 81 2K1.4
18 111 2A2.2,2A2.4
18 112(a) 2A2.1,2A2.2,2A2.3,2A4.1,2B1.1,2K1.4
18 113(a) 2A2.1 (for offenses committed prior to September 13,1994)
18 113(a)(1) 2A2.1,2A3.1
18 113(a)(2) 2A2.2,2A3.2,2A3.3,2A3.4
18 113(a)(3) 2A2.2
18 113(a)(4) 2A2.3
18 113(a)(5) (Class A misdemeanor provisions only) 2A2.3
18 113(a)(6) 2A2.2
18 113(a)(7) 2A2.3
18 113(a)(8) 2A2.2
18 113(b) 2A2.2 (for offenses committed prior to September 13,1994)
18 113(c) 2A2.2 (for offenses committed prior to September 13,1994)
18 113(f) 2A2.2 (for offenses committed prior to September 13,1994)
18 114 2A2.2
18 115(a) 2A1.1,2A1.2,2A1.3, 2A2.1,2A2.2,2A2.3, 2A4.1,2A6.1,2X1.1
18 115(b)(1) 2A2.1,2A2.2,2A2.3
18 115(b)(2) 2A4.1,2X1.1
18 115(b)(3) 2A1.1,2A1.2,2A2.1,2X1.1
18 115(b)(4) 2A6.1
18 117 2A6.2
18 119 2H3.1
18 152 2B1.1,2B4.1,2J1.3
18 153 2B1.1
18 155 2B1.1
18 175 2M6.1
18 175b 2M6.1
18 175c 2M6.1
18 201(b)(1) 2C1.1
18 201(b)(2) 2C1.1
18 201(b)(3) 2J1.3
18 201(b)(4) 2J1.3
18 201(c)(1) 2C1.2
18 201(c)(2) 2J1.9
18 201(c)(3) 2J1.9
18 203 2C1.3
18 204 2C1.3
18 205 2C1.3
18 207 2C1.3
18 208 2C1.3
18 209 2C1.3
18 210 2C1.5
18 211 2C1.5
18 212 2C1.2
18 213 2C1.2
18 214 2C1.2
18 215 2B4.1
18 217 2C1.2
18 219 2C1.3
18 224 2B4.1
18 225 2B1.1,2B4.1
18 226 2C1.1
18 227 2C1.1
18 228 2J1.1
18 229 2M6.1
18 241 2H1.1,2H2.1,2H4.1
18 242 2H1.1,2H2.1
18 245(b) 2H1.1,2H2.1,2J1.2
18 246 2H1.1
18 247 2H1.1
18 248 2H1.1
18 249 2H1.1
18 281 2C1.3
18 285 2B1.1
18 286 2B1.1
18 287 2B1.1
18 288 2B1.1
18 289 2B1.1
18 332 2B1.1
18 335 2B1.1
18 342 2D2.3
18 351(a) 2A1.1,2A1.2,2A1.3,2A1.4
18 351(b) 2A1.1,2A4.1
18 351(c) 2A2.1,2A4.1
18 351(d) 2A1.5,2A4.1
18 351(e) 2A2.2,2A2.3
18 371 2A1.5,2C1.1 (if conspiracy to defraud by interference with governmental functions), 2T1.9,2K2.1 (if a conspiracy to violate 18924(c)),2X1.1
18 372 2X1.1
18 373 2A1.5,2X1.1
18 401 2J1.1
18 403 2J1.1
18 440 2C1.3
18 442 2C1.3
18 470 2B1.1,2B5.1
18 471 2B1.1,2B5.1
18 472 2B1.1,2B5.1
18 473 2B1.1,2B5.1
18 474 2B1.1,2B5.1
18 474A 2B5.1
18 476 2B5.1
18 477 2B1.1,2B5.1
18 478 2B1.1
18 479 2B1.1
18 480 2B1.1
18 481 2B1.1
18 482 2B1.1
18 483 2B1.1
18 484 2B1.1,2B5.1
18 485 2B1.1,2B5.1
18 486 2B1.1,2B5.1
18 487 2B5.1
18 488 2B1.1
18 490 2B5.1
18 491 2B1.1,2B5.1
18 493 2B1.1,2B5.1
18 494 2B1.1
18 495 2B1.1
18 496 2B1.1,2T3.1
18 497 2B1.1
18 498 2B1.1
18 499 2B1.1
18 500 2B1.1,2B5.1
18 501 2B1.1,2B5.1
18 502 2B1.1
18 503 2B1.1
18 505 2B1.1,2J1.2
18 506 2B1.1
18 507 2B1.1
18 508 2B1.1
18 509 2B1.1
18 510 2B1.1
18 511 2B6.1
18 513 2B1.1
18 514 2B1.1
18 541 2B1.5,2T3.1
18 542 2B1.5,2T3.1
18 543 2B1.5,2T3.1
18 544 2B1.5,2T3.1
18 545 2B1.5,2Q2.1,2T3.1
18 546 2B1.5
18 547 2T3.1
18 548 2T3.1
18 549 2B1.1,2T3.1
18 550 2T3.1
18 551 2J1.2,2T3.1
18 552 2G3.1
18 553(a)(1) 2B1.1
18 553(a)(2) 2B1.1,2B6.1
18 554 2B1.5,2M5.1,2M5.2,2Q2.1
18 555 2X7.1
18 592 2H2.1
18 593 2H2.1
18 594 2H2.1
18 597 2H2.1
18 607 2C1.8
18 608 2H2.1
18 611 2H2.1
18 641 2B1.1,2B1.5
18 642 2B1.1,2B5.1
18 643 2B1.1
18 644 2B1.1
18 645 2B1.1
18 646 2B1.1
18 647 2B1.1
18 648 2B1.1
18 649 2B1.1
18 650 2B1.1
18 651 2B1.1
18 652 2B1.1
18 653 2B1.1
18 654 2B1.1
18 655 2B1.1
18 656 2B1.1
18 657 2B1.1
18 658 2B1.1
18 659 2B1.1
18 660 2B1.1
18 661 2B1.1,2B1.5
18 662 2B1.1,2B1.5
18 663 2B1.1
18 664 2B1.1
18 665(a) 2B1.1
18 665(b) 2B3.3,2C1.1
18 665(c) 2J1.2
18 666(a)(1)(A) 2B1.1,2B1.5
18 666(a)(1)(B) 2C1.1,2C1.2
18 666(a)(2) 2C1.1,2C1.2
18 667 2B1.1
18 668 2B1.5
18 669 2B1.1
18 670 2B1.1
18 709 2B1.1
18 712 2B1.1
18 751 2P1.1
18 752 2P1.1,2X3.1
18 753 2P1.1
18 755 2P1.1
18 756 2P1.1
18 757 2P1.1,2X3.1
18 758 2A2.4
18 793(a)–(c) 2M3.2
18 793(d),(e) 2M3.2,2M3.3
18 793(f) 2M3.4
18 793(g) 2M3.2,2M3.3
18 794 2M3.1
18 798 2M3.3
18 831 2M6.1
18 832 2M6.1
18 842(a)–(e) 2K1.3
18 842(f) 2K1.6
18 842(g) 2K1.6
18 842(h),(i) 2K1.3
18 842(j) 2K1.1
18 842(k) 2K1.1
18 842(l)–(o) 2K1.3
18 842(p)(2) 2K1.3,2M6.1
18 844(b) 2K1.1
18 844(d) 2K1.3
18 844(e) 2A6.1
18 844(f) 2K1.4,2X1.1
18 844(g) 2K1.3
18 844(h) 2K2.4 (2K1.4 for of-fenses committed prior to November 18,1988)
18 844(i) 2K1.4
18 844(m) 2K1.3
18 844(n) 2X1.1
18 844(o) 2K2.4
18 871 2A6.1
18 872 2C1.1
18 873 2B3.3
18 874 2B3.2,2B3.3
18 875(a) 2A4.2,2B3.2
18 875(b) 2B3.2
18 875(c) 2A6.1
18 875(d) 2B3.2,2B3.3
18 876 2A4.2,2A6.1,2B3.2,2B3.3
18 877 2A4.2,2A6.1,2B3.2,2B3.3
18 878(a) 2A6.1
18 878(b) 2B3.2
18 879 2A6.1
18 880 2B1.1
18 892 2E2.1
18 893 2E2.1
18 894 2E2.1
18 911 2B1.1,2L2.2
18 912 2J1.4
18 913 2J1.4
18 914 2B1.1
18 915 2B1.1
18 917 2B1.1
18 922(a)–(p) 2K2.1
18 922(q) 2K2.5
18 922(r)–(w) 2K2.1
18 922(x)(1) 2K2.1
18 923 2K2.1
18 924(a) 2K2.1
18 924(b) 2K2.1
18 924(c) 2K2.4
18 924(e) 2K2.1 (see also 4B1.4)
18 924(f) 2K2.1
18 924(g) 2K2.1
18 924(h) 2K2.1
18 924(i) 2K2.1
18 924(j)(1) 2A1.1,2A1.2
18 924(j)(2) 2A1.3,2A1.4
18 924(k)–(o) 2K2.1
18 929(a) 2K2.4
18 930 2K2.5
18 931 2K2.6
18 956 2A1.5,2X1.1
18 970(a) 2B1.1,2K1.4
18 1001 2B1.1,2J1.2 (when the statutory maximum term of eight years’ imprisonment applies because the matter relates to international terrorism or domestic terrorism,or to sex offenses under 18 U.S.C. § 1591 or chapters
109A,109B,110,or 117 of title 18,United States Code)
18 1002 2B1.1
18 1003 2B1.1,2B5.1
18 1004 2B1.1
18 1005 2B1.1
18 1006 2B1.1,2S1.3
18 1007 2B1.1,2S1.3
18 1010 2B1.1
18 1011 2B1.1
18 1012 2B1.1,2C1.3
18 1013 2B1.1
18 1014 2B1.1
18 1015(a)–(e) 2B1.1,2J1.3,2L2.1,2L2.2
18 1015(f) 2H2.1
18 1016 2B1.1
18 1017 2B1.1
18 1018 2B1.1
18 1019 2B1.1
18 1020 2B1.1
18 1021 2B1.1
18 1022 2B1.1
18 1023 2B1.1
18 1024 2B1.1
18 1025 2B1.1
18 1026 2B1.1
18 1027 2E5.3
18 1028 2B1.1,2L2.1,2L2.2
18 1028A 2B1.6
18 1029 2B1.1
18 1030(a)(1) 2M3.2
18 1030(a)(2) 2B1.1
18 1030(a)(3) 2B2.3
18 1030(a)(4) 2B1.1
18 1030(a)(5) 2B1.1
18 1030(a)(6) 2B1.1
18 1030(a)(7) 2B3.2
18 1030(b) 2X1.1
18 1031 2B1.1
18 1032 2B1.1,2B4.1
18 1033 2B1.1,2J1.2
18 1035 2B1.1
18 1036 2B2.3
18 1037 2B1.1
18 1038 2A6.1
18 1039 2H3.1
18 1040 2B1.1
18 1071 2X3.1
18 1072 2X3.1
18 1073 2J1.5,2J1.6
18 1082 2E3.1
18 1084 2E3.1
18 1091 2H1.1
18 1111(a) 2A1.1,2A1.2
18 1112 2A1.3,2A1.4
18 1113 2A2.1,2A2.2
18 1114 2A1.1,2A1.2,2A1.3,2A1.4,2A2.1
18 1115 2A1.4
18 1116 2A1.1,2A1.2,2A1.3,2A1.4,2A2.1
18 1117 2A1.5
18 1118 2A1.1,2A1.2
18 1119 2A1.1,2A1.2,2A1.3,2A1.4,2A2.1
18 1120 2A1.1,2A1.2,2A1.3,2A1.4
18 1121 2A1.1,2A1.2
18 1158 2B1.1,2B5.3
18 1159 2B1.1
18 1163 2B1.1,2B1.5
18 1167 2B1.1
18 1168 2B1.1
18 1170 2B1.5
18 1201(a) 2A4.1
18 1201(c),(d) 2X1.1
18 1202 2A4.2
18 1203 2A4.1,2X1.1
18 1204 2J1.2
18 1301 2E3.1
18 1302 2E3.1
18 1303 2E3.1
18 1304 2E3.1
18 1306 2E3.1
18 1341 2B1.1,2C1.1
18 1342 2B1.1,2C1.1
18 1343 2B1.1,2C1.1
18 1344 2B1.1
18 1347 2B1.1
18 1348 2B1.1
18 1349 2X1.1
18 1350 2B1.1
18 1351 2B1.1
18 1361 2B1.1,2B1.5
18 1362 2B1.1,2K1.4
18 1363 2B1.1,2K1.4
18 1364 2K1.4
18 1365(a) 2N1.1
18 1365(b) 2N1.3
18 1365(c) 2N1.2
18 1365(d) 2N1.2
18 1365(e) 2N1.1
18 1365(f) 2X5.2
18 1366 2B1.1
18 1369 2B1.1,2B1.5
18 1389 2A2.2,2A2.3,2B1.1
18 1422 2B1.1,2C1.2
18 1423 2L2.2
18 1424 2L2.2
18 1425 2L2.1,2L2.2
18 1426 2L2.1,2L2.2
18 1427 2L2.1
18 1428 2L2.5
18 1429 2J1.1
18 1460 2G3.1
18 1461 2G3.1
18 1462 2G3.1
18 1463 2G3.1
18 1464 2G3.2
18 1465 2G3.1
18 1466 2G3.1
18 1466A 2G2.2
18 1468 2G3.2
18 1470 2G3.1
18 1501 2A2.2,2A2.4
18 1502 2A2.4
18 1503 2J1.2
18 1505 2J1.2
18 1506 2J1.2
18 1507 2J1.2
18 1508 2J1.2
18 1509 2J1.2
18 1510 2J1.2
18 1511 2E3.1,2J1.2
18 1512(a) 2A1.1,2A1.2,2A1.3,2A2.1,2A2.2,2A2.3,2J1.2
18 1512(b) 2J1.2
18 1512(c) 2J1.2
18 1512(d) 2J1.2
18 1513 2A1.1,2A1.2,2A1.3,2A2.1,2A2.2,2A2.3,2B1.1,2J1.2
18 1514(c) 2J1.2
18 1516 2J1.2
18 1517 2J1.2
18 1518 2J1.2
18 1519 2J1.2
18 1520 2E5.3
18 1521 2A6.1
18 1541 2L2.1
18 1542 2L2.1,2L2.2
18 1543 2L2.1,2L2.2
18 1544 2L2.1,2L2.2
18 1546 2L2.1,2L2.2
18 1581 2H4.1
18 1582 2H4.1
18 1583 2H4.1
18 1584 2H4.1
18 1585 2H4.1
18 1586 2H4.1
18 1587 2H4.1
18 1588 2H4.1
18 1589 2H4.1
18 1590 2H4.1
18 1591 2G1.1,2G2.1,2G1.3
18 1592 2H4.1
18 1593A 2H4.1
18 1597 2X5.2
18 1621 2J1.3
18 1622 2J1.3
18 1623 2J1.3
18 1700 2H3.3
18 1702 2B1.1,2H3.3
18 1703 2B1.1,2H3.3
18 1704 2B1.1
18 1705 2B1.1
